protein name,invasive counts,invasive fraction,non-invasive counts,non-invasive fraction
C9J5W5,2,0.00306,4,0.01389
F6VDH7,131,0.20031,79,0.27431
B4DED8,1,0.00153,0,0.0
B4DDT0,4,0.00612,0,0.0
E7EUW0,1,0.00153,0,0.0
H0Y5A7,0,0.0,1,0.00347
B7Z6R0,42,0.06422,22,0.07639
PKDRE,1,0.00153,1,0.00347
J3KQ98,1,0.00153,0,0.0
C9JNV2,16,0.02446,5,0.01736
K7EKZ2,4,0.00612,1,0.00347
SPIN4,1,0.00153,0,0.0
S39A7,7,0.0107,2,0.00694
GPSM2,1,0.00153,0,0.0
I3L2G6,1,0.00153,0,0.0
H0YLH1,1,0.00153,1,0.00347
F8W883,3,0.00459,0,0.0
B7Z491,6,0.00917,6,0.02083
EMIL3,1,0.00153,0,0.0
GBG7,5,0.00765,2,0.00694
TRAF5,2,0.00306,0,0.0
CO038,20,0.03058,16,0.05556
AMER1,0,0.0,1,0.00347
B7Z4G8,2,0.00306,2,0.00694
CNTRB,1,0.00153,1,0.00347
MOT4,4,0.00612,5,0.01736
CAP7,132,0.20183,90,0.3125
E9PP54,6,0.00917,3,0.01042
B4E2D5,1,0.00153,1,0.00347
NOX3,1,0.00153,0,0.0
CPNE9,2,0.00306,2,0.00694
GYS1,12,0.01835,7,0.02431
HV301,1,0.00153,3,0.01042
Q5JY65,44,0.06728,20,0.06944
J3QQJ4,2,0.00306,1,0.00347
QTRD1,11,0.01682,13,0.04514
ZSC20,1,0.00153,1,0.00347
A8MWQ6,0,0.0,1,0.00347
STX17,6,0.00917,3,0.01042
F8W648,2,0.00306,1,0.00347
B4E0W6,2,0.00306,2,0.00694
H7C5N7,1,0.00153,1,0.00347
E7EUZ8,1,0.00153,0,0.0
C9JRE9,3,0.00459,0,0.0
E9PKU4,130,0.19878,77,0.26736
COEA1,205,0.31346,127,0.44097
E7EQ64,7,0.0107,7,0.02431
B7Z3X4,38,0.0581,24,0.08333
M0R389,26,0.03976,14,0.04861
E9PGA7,0,0.0,1,0.00347
C9JSW2,1,0.00153,1,0.00347
2ABA,21,0.03211,22,0.07639
NPY2R,1,0.00153,0,0.0
F5H853,7,0.0107,6,0.02083
C9JB80,114,0.17431,65,0.22569
HEM0,1,0.00153,0,0.0
XPF,1,0.00153,0,0.0
H7BXV5,158,0.24159,92,0.31944
D6RD65,3,0.00459,1,0.00347
DNJC8,78,0.11927,46,0.15972
B4E2Q4,93,0.1422,59,0.20486
C9JLM9,17,0.02599,11,0.03819
BTNL3,1,0.00153,0,0.0
GALT7,2,0.00306,4,0.01389
C9J8E1,11,0.01682,3,0.01042
B4DMG5,1,0.00153,1,0.00347
GPKOW,9,0.01376,4,0.01389
E7EWH8,1,0.00153,3,0.01042
DIEXF,11,0.01682,9,0.03125
S22AE,2,0.00306,0,0.0
B4DGI9,2,0.00306,0,0.0
B5ME80,1,0.00153,0,0.0
C9J3I4,1,0.00153,0,0.0
GAPD1,0,0.0,1,0.00347
F8WCX5,25,0.03823,16,0.05556
J3KSB3,0,0.0,1,0.00347
F8VW29,1,0.00153,1,0.00347
G3V4B8,1,0.00153,1,0.00347
E7ET31,0,0.0,1,0.00347
SMD2,16,0.02446,11,0.03819
CJ025,1,0.00153,0,0.0
B4DFJ1,1,0.00153,0,0.0
B4DVE7,288,0.44037,170,0.59028
A6NNE7,119,0.18196,71,0.24653
J3KNB4,35,0.05352,29,0.10069
PDE8A,1,0.00153,0,0.0
INT1,3,0.00459,0,0.0
SWT1,1,0.00153,0,0.0
J3KRL7,1,0.00153,0,0.0
F8W810,145,0.22171,95,0.32986
NFIB,1,0.00153,0,0.0
D6RJB9,1,0.00153,2,0.00694
C9JL85,69,0.1055,43,0.14931
ROA0,152,0.23242,102,0.35417
CTAG2,0,0.0,1,0.00347
E7ETZ7,3,0.00459,0,0.0
VCIP1,32,0.04893,14,0.04861
B8ZZ54,157,0.24006,94,0.32639
TRI42,1,0.00153,1,0.00347
TNF6B,10,0.01529,2,0.00694
E7EX48,2,0.00306,0,0.0
ITM2B,13,0.01988,3,0.01042
E9PCX2,87,0.13303,53,0.18403
K7ES93,1,0.00153,0,0.0
NKD1,3,0.00459,1,0.00347
E5RIZ6,67,0.10245,42,0.14583
ARHGG,4,0.00612,9,0.03125
KLRG2,1,0.00153,0,0.0
SL9C1,1,0.00153,0,0.0
B4DLE8,3,0.00459,1,0.00347
HRH4,1,0.00153,0,0.0
F8WD25,1,0.00153,1,0.00347
M0QZL1,87,0.13303,62,0.21528
E5RJN3,0,0.0,1,0.00347
1433B,208,0.31804,138,0.47917
H0Y4P3,18,0.02752,4,0.01389
NLRX1,16,0.02446,13,0.04514
LSM10,0,0.0,1,0.00347
E9PMI2,4,0.00612,2,0.00694
C9J053,2,0.00306,0,0.0
E9PLD8,0,0.0,1,0.00347
C9JRJ8,10,0.01529,4,0.01389
Q4VXW4,37,0.05657,18,0.0625
H7C367,40,0.06116,29,0.10069
K2022,1,0.00153,0,0.0
G3V2M9,0,0.0,1,0.00347
NDUA9,121,0.18502,67,0.23264
B3GA2,0,0.0,1,0.00347
F5H515,0,0.0,2,0.00694
H0Y9X8,1,0.00153,2,0.00694
U93BL,5,0.00765,2,0.00694
CC030,0,0.0,1,0.00347
JMY,1,0.00153,1,0.00347
B1AJW0,0,0.0,1,0.00347
PNM6B,2,0.00306,3,0.01042
Q5T2K3,1,0.00153,0,0.0
PRDM7,0,0.0,2,0.00694
E7EVY7,1,0.00153,1,0.00347
TI17A,0,0.0,1,0.00347
G3V556,6,0.00917,6,0.02083
I3L504,1,0.00153,5,0.01736
B3KVH1,5,0.00765,1,0.00347
E9PIU3,2,0.00306,1,0.00347
MSD3,0,0.0,1,0.00347
TMM51,1,0.00153,0,0.0
H7C0I6,1,0.00153,0,0.0
E7EME3,11,0.01682,7,0.02431
F5H019,9,0.01376,6,0.02083
H7C3L7,9,0.01376,2,0.00694
C9JWV4,17,0.02599,9,0.03125
SLIP,3,0.00459,1,0.00347
B9ZVR7,1,0.00153,0,0.0
DCTN5,1,0.00153,0,0.0
F8WEI7,35,0.05352,22,0.07639
T194B,1,0.00153,1,0.00347
BMP6,1,0.00153,1,0.00347
C9K0F9,2,0.00306,1,0.00347
R7BP,1,0.00153,0,0.0
MCAF2,1,0.00153,0,0.0
F122B,1,0.00153,0,0.0
E5RI56,22,0.03364,15,0.05208
MYL3,0,0.0,1,0.00347
FXL16,1,0.00153,1,0.00347
E7EQB2,312,0.47706,193,0.67014
D6RA73,181,0.27676,110,0.38194
H7BY83,27,0.04128,18,0.0625
YIPF5,15,0.02294,11,0.03819
DDX10,3,0.00459,0,0.0
H7BYZ9,3,0.00459,0,0.0
J3QQR9,1,0.00153,1,0.00347
PERP,1,0.00153,1,0.00347
LENG9,1,0.00153,2,0.00694
E7EN07,1,0.00153,0,0.0
2AAB,0,0.0,2,0.00694
RGS3,0,0.0,2,0.00694
E9PIM6,150,0.22936,78,0.27083
H7C1N2,2,0.00306,1,0.00347
B4DYV5,15,0.02294,8,0.02778
SRP72,113,0.17278,62,0.21528
H7C3U4,11,0.01682,6,0.02083
F8VW96,10,0.01529,12,0.04167
TBD2A,6,0.00917,6,0.02083
TAF5L,1,0.00153,0,0.0
CTG1B,1,0.00153,0,0.0
PODN,1,0.00153,0,0.0
A8MQB8,26,0.03976,19,0.06597
I3L2E3,1,0.00153,0,0.0
K7EK00,8,0.01223,3,0.01042
DMRT2,4,0.00612,0,0.0
H3BNC6,86,0.1315,48,0.16667
MOXD1,5,0.00765,1,0.00347
C9JFX4,4,0.00612,3,0.01042
C9JQT2,34,0.05199,24,0.08333
A6NJZ9,32,0.04893,22,0.07639
DYH6,0,0.0,3,0.01042
D6RJE4,0,0.0,1,0.00347
G3V1N3,1,0.00153,0,0.0
E9PNW5,1,0.00153,0,0.0
SETD9,3,0.00459,2,0.00694
B4DTZ6,1,0.00153,1,0.00347
H3BPL4,5,0.00765,5,0.01736
B7ZC06,42,0.06422,21,0.07292
B4DDF4,182,0.27829,105,0.36458
EPHA8,1,0.00153,1,0.00347
PON3,1,0.00153,0,0.0
D6RAJ1,2,0.00306,1,0.00347
H7BZ42,1,0.00153,0,0.0
C9J6L4,19,0.02905,10,0.03472
H0Y3B2,4,0.00612,2,0.00694
LEG9B,1,0.00153,0,0.0
I3L0V3,1,0.00153,0,0.0
J3KRG1,17,0.02599,8,0.02778
PED1B,1,0.00153,1,0.00347
CJ088,0,0.0,1,0.00347
J3KS36,12,0.01835,8,0.02778
CNST,2,0.00306,2,0.00694
ZBT8B,1,0.00153,2,0.00694
DCST1,2,0.00306,1,0.00347
B4DM23,32,0.04893,17,0.05903
F5H648,109,0.16667,77,0.26736
H0Y4X7,1,0.00153,0,0.0
H0Y6T6,0,0.0,1,0.00347
E9PRJ4,0,0.0,1,0.00347
ZN578,1,0.00153,0,0.0
B7Z7E7,1,0.00153,0,0.0
SRP19,28,0.04281,16,0.05556
H0YM51,3,0.00459,1,0.00347
TP8L2,0,0.0,1,0.00347
CPED1,3,0.00459,1,0.00347
E9PKH5,39,0.05963,14,0.04861
I3L2D6,2,0.00306,0,0.0
H0YBM0,1,0.00153,0,0.0
USH1C,32,0.04893,20,0.06944
D6REL9,18,0.02752,8,0.02778
E9PMT1,0,0.0,1,0.00347
A6NGH2,153,0.23394,97,0.33681
HBAT,0,0.0,1,0.00347
ODC,1,0.00153,0,0.0
FRMD7,1,0.00153,0,0.0
F174B,1,0.00153,0,0.0
B7Z6A8,92,0.14067,58,0.20139
G3XAL0,200,0.30581,122,0.42361
F5H2A7,62,0.0948,49,0.17014
SH3L2,48,0.07339,24,0.08333
TSKS,1,0.00153,0,0.0
MAEL,0,0.0,1,0.00347
NXT2,3,0.00459,0,0.0
APOA1,137,0.20948,83,0.28819
PP1R8,9,0.01376,6,0.02083
B4DWP7,4,0.00612,5,0.01736
EFCB3,0,0.0,2,0.00694
G3V2M0,1,0.00153,0,0.0
PIGT,9,0.01376,8,0.02778
E9PHB3,4,0.00612,4,0.01389
B9A071,1,0.00153,0,0.0
E7EPV1,1,0.00153,0,0.0
PKHG4,0,0.0,1,0.00347
F8VPW9,7,0.0107,7,0.02431
GPHRC,23,0.03517,12,0.04167
D6RAC2,150,0.22936,95,0.32986
RL34,147,0.22477,93,0.32292
B3KP96,9,0.01376,7,0.02431
KLD8B,0,0.0,1,0.00347
Q4TT42,19,0.02905,11,0.03819
UBP5,246,0.37615,152,0.52778
H7C4Y3,21,0.03211,14,0.04861
CYAC3,0,0.0,1,0.00347
E9PLD1,70,0.10703,33,0.11458
